ENCSR910OQF	ENCFF323MYG	ENCFF813JMT
ENCSR759UNY	ENCFF207XKR	ENCFF645CDA
ENCSR759UNY	ENCFF030RLN	ENCFF534QIM
ENCSR141IUS	ENCFF779YSP	ENCFF083VCD
ENCSR366EQH	ENCFF258ARL	ENCFF761ZJC
ENCSR587STM	ENCFF099VGK	ENCFF438TWL
ENCSR371KRY	ENCFF697TQJ	ENCFF053JYY
ENCSR852TRT	ENCFF994XER	ENCFF233ORX
ENCSR207TUX	ENCFF058CQP	ENCFF410CYG
ENCSR000ENV	ENCFF996VPC	ENCFF263BZU
ENCSR000ENV	ENCFF601FCG	ENCFF350SUV
ENCSR979BPU	ENCFF459HUC	ENCFF603OJF
ENCSR000ENO	ENCFF147IMV	ENCFF830FDL
ENCSR000ENO	ENCFF886SWA	ENCFF646GHQ
ENCSR080PZL	ENCFF068TZW	ENCFF580LWU
ENCSR639ZJI	ENCFF976DGL	ENCFF005DPL
ENCSR000ELW	ENCFF566SPI	ENCFF688CJL
ENCSR000ELW	ENCFF414MBW	ENCFF280JCA
ENCSR269SIA	ENCFF741YHT	ENCFF141KAP
ENCSR269SIA	ENCFF075WDX	ENCFF006KSE
ENCSR884MCZ	ENCFF614MII	ENCFF759AQQ
ENCSR457ILW	ENCFF620SQA	ENCFF359LKO
ENCSR856QJX	ENCFF485KBE	ENCFF378ZLF
ENCSR010ZMK	ENCFF689PUE	ENCFF739XXP
ENCSR000EPU	ENCFF879BNX	ENCFF739CBQ
ENCSR000EPU	ENCFF983FBQ	ENCFF445RBC
ENCSR000ENP	ENCFF428TOH	ENCFF205TKQ
ENCSR000ENP	ENCFF221TOB	ENCFF944TCB
ENCSR584LUZ	ENCFF546ZHR	ENCFF460VUW
ENCSR855FOP	ENCFF741PWD	ENCFF667COT
ENCSR855FOP	ENCFF401MDW	ENCFF162XBG
ENCSR809CEA	ENCFF869MPY	ENCFF345ALB
ENCSR809CEA	ENCFF901GSL	ENCFF581WZE
ENCSR346IHH	ENCFF617PSN	ENCFF399TJD
ENCSR346IHH	ENCFF395BOY	ENCFF389AEJ
ENCSR555QAY	ENCFF045IWW	ENCFF462ZLK
ENCSR000ENU	ENCFF134TWT	ENCFF634ZUJ
ENCSR000ENU	ENCFF499ZYD	ENCFF089MHS
ENCSR184LMY	ENCFF899ZYB	ENCFF338NJM
ENCSR437AYW	ENCFF244BRN	ENCFF154NSS
ENCSR502NDK	ENCFF497YUO	ENCFF966IYT
ENCSR680SDS	ENCFF243ZVW	ENCFF010TXA
ENCSR510ITB	ENCFF917XDW	ENCFF735QXG
ENCSR000ENI	ENCFF017WOW	ENCFF472TFO
ENCSR000ENI	ENCFF336FMK	ENCFF117TEM
ENCSR067XUN	ENCFF752GLL	ENCFF135UCT
ENCSR749BWV	ENCFF379QIL	ENCFF162WFN
ENCSR749BWV	ENCFF088HYN	ENCFF193CHS
ENCSR006IJP	ENCFF733DPB	ENCFF362UJZ
